,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Mean/mode imputation,,,,,MICE,,,,,kNN,,,,,MissForest,,,,,GAIN,,,,
Dataset,Missing %,mRMSE,RMSE num,RMSE cat,PFC,Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC (%),Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC,Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC,Execution time (seconds),mRMSE,RMSE num,RMSE cat,PFC,Execution time (seconds)
Mushroom,10,0.40,-,0.40,15.64,0.01,0.30,-,0.30,8.95,"16,623",0.29,-,0.29,8.47,10.96,0.28,-,0.28,7.74,177.96,,,,,
,30,0.40,-,0.40,15.71,0.01,0.31,-,0.31,9.43,"13,624",0.29,-,0.29,8.27,24.70,0.30,-,0.30,8.88,248.20,,,,,
,50,0.40,-,0.40,15.82,0.01,0.32,,0.32,10.20,"9,907",0.31,-,0.31,9.76,31.40,0.31,-,0.31,9.52,213.17,,,,,
Letter,10,0.16,0.16,-,-,0.02,0.15,0.15,-,-,798,0.06,0.06,-,-,11.51,0.07,0.07,-,-,125.17,,,,,
,30,0.16,0.16,-,-,0.02,0.16,0.16,-,-,634,0.09,0.09,-,-,26.12,0.09,0.09,-,-,156.02,,,,,
,50,0.16,0.16,-,-,0.02,0.17,0.17,-,-,469,0.14,0.14,-,-,30.93,0.11,0.11,-,-,143.28,,,,,
Bank,10,0.50,0.27,0.42,17.49,0.04,0.43,0.16,0.40,15.81,"27,945",0.39,0.12,0.37,13.34,182.45,0.36,0.08,0.35,12.12,367.86,,,,,
,30,0.49,0.26,0.42,17.48,0.05,0.45,0.18,0.41,16.89,"19,092",0.39,0.13,0.36,13.20,403.44,0.37,0.09,0.36,12.94,253.54,,,,,
,50,0.50,0.27,0.42,17.46,0.05,0.48,0.21,0.42,17.97,"13,067",0.43,0.19,0.39,14.88,704.37,0.40,0.13,0.38,14.59,315.69,,,,,
Credit,10,0.34,0.07,0.33,11.14,0.05,0.27,0.07,0.26,6.81,"53,816",0.25,0.05,0.24,5.88,129.73,0.26,0.05,0.26,6.70,882.01,,,,,
,30,0.34,0.07,0.33,10.83,0.05,0.29,0.07,0.28,7.63,"37,228",0.26,0.05,0.26,6.62,280.83,0.27,0.05,0.27,7.10,715.82,,,,,
,50,0.34,0.07,0.33,10.89,0.04,0.30,0.07,0.30,8.74,"46,321",0.28,0.06,0.27,7.42,353.06,,,,,,,,,,
News,10,0.50,0.19,0.47,21.69,0.15,0.40,0.14,0.37,13.81,"106,131",0.38,0.12,0.37,13.39,165.42,0.39,0.07,0.38,14.55,"2,859.76",,,,,
,30,0.50,0.20,0.47,21.64,0.15,,,,,,0.42,0.13,0.40,15.63,385.47,0.40,0.09,0.39,15.06,"4,011.28",,,,,
,50,0.50,0.20,0.46,21.59,0.15,0.46,0.18,0.42,17.42,"95,326",0.45,0.15,0.43,18.32,570.38,0.41,0.13,0.39,15.40,"3,024.62",,,,,
