cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
k,s,e,f,s,f,c,n,b,t,?,,k,p,,p,w,o,e,w,v,d
x,,n,f,,f,c,n,b,t,?,k,s,w,w,p,w,o,e,w,v,p
f,y,e,f,,f,,n,b,,?,s,,p,w,p,w,o,e,w,v,l
f,,n,t,n,f,c,b,u,t,b,s,s,g,p,p,w,o,p,n,v,d
b,y,y,t,l,f,c,b,k,e,c,,,w,w,p,,o,p,n,n,m
x,,n,f,f,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,,l
x,f,n,t,n,f,c,b,,t,b,,s,g,g,p,w,o,p,n,,d
k,s,e,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
f,y,g,,f,f,,b,p,e,b,k,,p,n,p,w,o,l,h,y,d
f,s,w,t,p,f,c,n,w,e,e,s,s,w,w,p,w,o,p,n,v,u
x,y,,f,f,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p
f,s,n,f,y,f,c,,b,t,?,,k,w,p,p,w,o,e,w,v,
x,s,b,t,f,f,c,b,w,t,b,s,s,,w,p,w,o,p,h,s,u
f,y,n,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,p
x,s,e,f,y,f,c,n,b,t,?,s,,p,p,,w,o,e,w,v,d
,s,w,f,n,f,w,b,p,t,e,f,s,w,w,p,w,o,,k,a,g
f,s,w,t,p,f,c,,p,e,e,s,s,w,w,p,w,o,p,n,v,u
s,f,n,,n,f,c,n,n,e,e,,s,w,w,p,w,o,p,n,y,u
x,s,n,f,n,a,c,b,y,e,?,,s,o,o,p,n,o,p,b,c,l
f,s,g,t,f,,c,,,t,b,f,s,w,w,p,w,o,p,h,v,u
f,f,n,,n,f,w,b,p,t,e,f,f,w,w,p,w,o,e,n,a,g
x,f,g,t,n,f,c,b,,t,b,s,s,w,w,p,w,o,p,k,y,d
f,y,g,f,f,f,c,b,p,e,b,k,k,n,,p,w,o,l,h,y,
,s,g,t,f,f,c,,w,t,b,f,f,w,,p,,o,,h,v,u
x,s,e,f,f,f,c,,b,t,?,k,,p,w,p,w,o,e,w,v,l
,f,e,t,,f,c,b,n,t,b,s,s,w,p,p,w,o,p,n,y,d
k,s,n,f,n,a,,b,o,e,?,s,,o,o,p,o,o,,b,v,l
k,s,e,f,f,f,c,n,b,t,?,,k,p,p,p,w,o,e,w,v,p
x,y,e,f,y,,c,n,b,t,?,k,s,p,p,p,w,o,e,w,v,d
b,s,n,f,n,a,,b,o,,?,s,s,,o,p,n,o,p,y,v,l
x,y,e,t,n,f,,b,,t,,s,,,w,p,w,o,p,n,,d
,y,y,f,f,f,c,,g,e,b,k,k,,b,p,w,o,l,h,y,p
,s,w,f,,f,w,b,p,t,e,f,s,w,w,p,w,,e,k,s,g
x,y,w,,p,f,c,n,p,e,e,s,s,,w,p,w,o,p,k,v,u
f,f,e,t,n,f,c,b,n,t,b,s,s,p,g,,w,o,p,,y,d
x,y,y,,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,n,g
x,s,n,f,s,f,c,n,b,t,?,k,k,p,p,,w,o,e,w,v,l
x,s,n,f,f,f,c,n,b,t,?,k,k,w,w,p,w,o,e,w,,d
x,f,n,t,n,f,c,b,u,t,b,,s,g,w,p,w,o,p,k,v,d
x,f,w,f,n,,w,b,h,t,e,s,s,w,w,p,w,o,e,n,s,g
f,y,p,,n,,c,b,,e,?,s,s,e,e,p,w,t,e,w,c,w
x,f,e,t,n,,c,b,w,t,b,s,s,g,p,p,w,o,p,k,y,d
f,y,g,t,n,f,c,b,w,,b,s,s,p,w,p,w,o,p,k,y,d
x,y,g,,n,f,c,b,u,t,b,s,s,g,p,p,w,,p,k,v,d
f,y,y,,f,f,c,b,g,e,b,k,k,n,,p,,o,l,h,v,d
x,s,w,t,f,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,s,u
f,,n,f,n,,w,b,h,t,e,f,s,w,w,p,w,o,e,k,s,g
f,f,n,,n,f,c,n,p,e,e,s,s,w,w,p,w,,p,k,y,u
x,s,n,f,n,f,w,b,p,t,,f,f,,w,p,w,,e,n,a,g
x,s,w,t,a,f,c,b,,e,c,s,s,w,w,,w,o,p,k,s,g
,y,e,t,n,f,,b,u,t,b,s,s,p,g,p,w,o,,n,y,d
f,s,e,t,n,f,c,b,e,e,?,s,s,e,e,p,w,t,,w,c,w
b,s,w,f,n,f,w,b,p,e,?,,k,w,,p,w,t,p,,s,g
,y,e,f,s,f,c,n,b,t,?,,s,w,w,p,w,o,e,w,v,d
x,y,e,f,y,f,c,n,b,t,,k,k,p,w,p,w,,e,w,v,d
x,s,e,f,y,f,c,n,b,,?,k,s,w,p,p,w,o,e,w,v,l
x,y,g,t,n,f,c,b,n,t,,,s,,w,p,w,o,p,k,v,d
f,s,,t,f,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,g
x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,,,u
f,y,w,t,,f,c,n,p,e,e,s,,w,w,p,w,o,p,n,v,u
x,s,y,t,l,f,,b,w,e,,s,s,w,w,p,w,o,p,k,n,g
